Date : 2026-01-02 03:42:45
Directory : d:\Code\Hometown\vue-hometown-mjc
Total : 53 files,  12156 codes, 179 comments, 1451 blanks, all 13786 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Vue        |         30 |      7,960 |         28 |        999 |      8,987 |
| JSON       |          4 |      3,440 |          0 |        316 |      3,756 |
| JavaScript |         14 |        537 |         90 |         86 |        713 |
| PostCSS    |          2 |        142 |         61 |         27 |        230 |
| Markdown   |          1 |         62 |          0 |         22 |         84 |
| HTML       |          1 |         14 |          0 |          1 |         15 |
| XML        |          1 |          1 |          0 |          0 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                         | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                            |         53 |     12,156 |        179 |      1,451 |     13,786 |
| . (Files)                                                                    |          5 |      3,220 |          1 |         28 |      3,249 |
| public                                                                       |          1 |          1 |          0 |          0 |          1 |
| src                                                                          |         47 |      8,935 |        178 |      1,423 |     10,536 |
| src (Files)                                                                  |          2 |         24 |          1 |         10 |         35 |
| src\api                                                                      |          9 |        247 |         55 |         47 |        349 |
| src\assets                                                                   |          4 |        459 |         61 |        341 |        861 |
| src\assets (Files)                                                           |          2 |        142 |         61 |         27 |        230 |
| src\assets\json                                                              |          2 |        317 |          0 |        314 |        631 |
| src\components                                                               |          8 |        233 |          1 |         36 |        270 |
| src\components (Files)                                                       |          3 |        187 |          0 |         31 |        218 |
| src\components\icons                                                         |          5 |         46 |          1 |          5 |         52 |
| src\router                                                                   |          1 |        172 |         10 |         10 |        192 |
| src\utils                                                                    |          2 |         82 |         23 |         20 |        125 |
| src\views                                                                    |         21 |      7,718 |         27 |        959 |      8,704 |
| src\views\admin                                                              |          1 |        396 |          0 |         41 |        437 |
| src\views\adminList                                                          |          1 |        397 |          0 |         53 |        450 |
| src\views\article                                                            |          2 |        491 |          0 |         63 |        554 |
| src\views\attraction                                                         |          1 |        614 |         14 |         87 |        715 |
| src\views\culture                                                            |          1 |        584 |          9 |         79 |        672 |
| src\views\devlog                                                             |          1 |        428 |          0 |         48 |        476 |
| src\views\doc                                                                |          1 |        455 |          0 |         86 |        541 |
| src\views\index                                                              |          1 |         24 |          3 |          4 |         31 |
| src\views\layout                                                             |          1 |        394 |          0 |         43 |        437 |
| src\views\log                                                                |          1 |        415 |          0 |         49 |        464 |
| src\views\login                                                              |          1 |        391 |          0 |         33 |        424 |
| src\views\map                                                                |          1 |        197 |          0 |         30 |        227 |
| src\views\monitor                                                            |          1 |        173 |          0 |         10 |        183 |
| src\views\region                                                             |          1 |        331 |          0 |         42 |        373 |
| src\views\report                                                             |          1 |        249 |          0 |         20 |        269 |
| src\views\reportUser                                                         |          1 |        479 |          0 |         47 |        526 |
| src\views\school                                                             |          1 |        519 |          0 |         56 |        575 |
| src\views\specialties                                                        |          1 |        506 |          1 |         83 |        590 |
| src\views\user                                                               |          1 |        255 |          0 |         31 |        286 |
| src\views\website                                                            |          1 |        420 |          0 |         54 |        474 |
+------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                     | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\Code\Hometown\vue-hometown-mjc\README.md                                  | Markdown   |         62 |          0 |         22 |         84 |
| d:\Code\Hometown\vue-hometown-mjc\index.html                                 | HTML       |         14 |          0 |          1 |         15 |
| d:\Code\Hometown\vue-hometown-mjc\package-lock.json                          | JSON       |      3,093 |          0 |          1 |      3,094 |
| d:\Code\Hometown\vue-hometown-mjc\package.json                               | JSON       |         30 |          0 |          1 |         31 |
| d:\Code\Hometown\vue-hometown-mjc\public\qu.svg                              | XML        |          1 |          0 |          0 |          1 |
| d:\Code\Hometown\vue-hometown-mjc\src\App.vue                                | Vue        |          9 |          0 |          4 |         13 |
| d:\Code\Hometown\vue-hometown-mjc\src\api\admin.js                           | JavaScript |         62 |         19 |         10 |         91 |
